cohort_size,remediated_macro_f05,remediated_precision,remediated_recall,remediated_link_recall,phase3_ref_macro_f05,phase4_broken_f05,f05_recovery_delta,reproduction_status,runtime_seconds
100,0.9281391396271426,0.99,0.7867261904761905,0.7142857142857143,0.915,0.1053,0.8228391396271426,PASSED_REPRODUCED,9.966694116592407
1000,0.9296723165250642,0.9898333333333333,0.7934464285714286,0.712481644640235,0.9221,0.1124,0.8172723165250642,PASSED_REPRODUCED,32.52528429031372
5000,0.9264658844208766,0.9872666666666666,0.7894733333333334,0.7137883008356546,0.9122,0.1056,0.8208658844208766,PASSED_REPRODUCED,176.1624457836151
