model_variant,policy_name,macro_f05,mean_precision,mean_recall,link_recall,singleton_f05,multi_match_f05
Raw_LightGBM,"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",0.9421977120819878,0.9648399999999999,0.8953095238095237,0.8802228412256268,0.852112676056338,0.9521416550983152
Platt_Calibrated_LightGBM,"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",0.9409823494470356,0.9620433333333333,0.8991547619047618,0.8839368616527391,0.8697183098591549,0.9511892535115629
Isotonic_Calibrated_LightGBM,"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",0.9359199793299031,0.9791433333333335,0.8432145238095238,0.8225974930362117,0.9366197183098591,0.940532907738704
Normalized_LambdaMART,"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",0.0568,0.0568,0.0568,0.0,1.0,0.0
Ensemble_LightGBM_LambdaMART_75_25,"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",0.9414592579922179,0.9628666666666666,0.8983961904761903,0.8833565459610028,0.8591549295774648,0.9517334064752427
