threshold,macro_f05,mean_precision,mean_recall,link_recall,singleton_f05,one_match_f05,multi_match_f05,pct_predicted_0,pct_predicted_1,pct_predicted_2,pct_predicted_3plus
0.2,0.896555767096495,0.8967401606276606,0.9379607936507937,0.9510793871866295,0.7288732394366197,0.782630840300036,0.9149593001705123,0.0448,0.0648,0.1506,0.7398
0.3,0.9086830473162161,0.9110055137346313,0.9382336507936506,0.9490482822655525,0.7711267605633803,0.8027499596582196,0.9246156670864812,0.0474,0.0682,0.1524,0.732
0.4,0.9154805450256878,0.9193238775316824,0.9371984126984128,0.9466109563602599,0.7887323943661971,0.8169483078821634,0.9302230828043706,0.0484,0.0698,0.1572,0.7246
0.5,0.9210935069976033,0.9260902841602842,0.9367479365079365,0.9448119777158774,0.8063380281690141,0.8203427726367148,0.9352140439564588,0.0496,0.0698,0.161,0.7196
0.6,0.9275223984667252,0.9340087462537463,0.9361514285714285,0.9422585886722377,0.8345070422535211,0.8356778145235466,0.9396496287861215,0.0512,0.0718,0.1632,0.7138
0.65,0.9305996475643195,0.9382955016095017,0.9344685714285713,0.9402855153203342,0.8345070422535211,0.8416430557829055,0.9427311975814157,0.0512,0.074,0.1666,0.7082
0.7,0.9335653564558288,0.9422998760304024,0.9326633333333333,0.9380222841225627,0.8380281690140845,0.8454533595932094,0.9456046578822519,0.0514,0.075,0.17,0.7036
0.75,0.9360726887594554,0.9461801378033732,0.9302714285714286,0.934830547818013,0.852112676056338,0.8464684503141824,0.9474680503403345,0.0526,0.077,0.1706,0.6998
0.8,0.9379094907462724,0.9496510474492826,0.9266033333333333,0.9303621169916435,0.8661971830985915,0.8445741034483427,0.9487677645046728,0.0542,0.0784,0.1748,0.6926
0.85,0.9418333504073892,0.9556074603174602,0.9233519047619048,0.9253714020427113,0.8908450704225352,0.8459375787976194,0.9515314997087897,0.0562,0.0796,0.1794,0.6848
0.9,0.9445033605086359,0.9610840592740592,0.9170887301587302,0.9169568245125348,0.9084507042253521,0.8497664076264482,0.9531642411506221,0.0578,0.083,0.1828,0.6764
