submission_id,hypothesis_id,local_dev_f05,local_holdout_f05,public_score,delta_vs_baseline,candidate_pairs_count,predicted_empty_pct,avg_predicted_matches_per_s1,runtime_seconds,file_sha256,status_verdict
submission_v00_baseline,H0_FROZEN_BASELINE_ANCHOR,0.9422,0.9122,UNKNOWN,0.0,10000,0.9988133057515423,0.0015237708248679398,1.0829157829284668,bc776b4f265f117f61616e2e1ae2de72a908fbe5115e70432c8e3f3ca311edea,VALIDATED_PASSED
submission_v01_conservative,H1_CONSERVATIVE_PRECISION_SAFE,0.9379,0.9095,UNKNOWN,-0.0027000000000000357,10000,0.9988958433378893,0.0013148295223671088,0.7636630535125732,4627658692d4cb18cf7970b9edff56089f95bb31d9d24519725eb3bd2fb96053,VALIDATED_PASSED
submission_v02_recall,H2_RECALL_EXPANSION_TEST,0.9336,0.9051,UNKNOWN,-0.007099999999999995,10000,0.9987988761035794,0.0016628726312289904,0.8288519382476807,6a1b757bdec9df4ce7e905f4c31bca99ad437ff311565037bd72227933e89680,VALIDATED_PASSED
submission_v03_rescue_sensitive,H3_STRUCTURAL_RESCUE_SENSITIVE,0.9419,0.9118,UNKNOWN,-0.00039999999999995595,10000,0.9988133057515423,0.0015312742418085775,0.6828727722167969,d9fd3be9d54ccdbca5f78ba6528e7e13581606adaae634612a88027895a5bc24,VALIDATED_PASSED
submission_v04_balanced_opt,H4_BALANCED_OPTIMAL_CANDIDATE,0.9423,0.9122,UNKNOWN,0.0,10000,0.9988133057515423,0.0015237708248679398,0.7307641506195068,bc776b4f265f117f61616e2e1ae2de72a908fbe5115e70432c8e3f3ca311edea,VALIDATED_PASSED
