universe_name,target_count,total_queries,total_true_links,captured_true_links,blocking_recall,s2_recall,s3_recall,mean_candidates,median_candidates,p90_candidates,p95_candidates,p99_candidates,max_candidates,reduction_ratio,fit_time_seconds,runtime_seconds,total_time_seconds,throughput_queries_per_sec,peak_ram_mb
"Universe A (Phase 1 Universe, ~117K Targets)",103405,1000,3405,3304,0.970337738619677,0.976,0.9651685393258427,26.925,25.0,30.0,35.0,50.0,91,0.9997396160727238,8.044089317321777,0.2903163433074951,16.155091762542725,3444.5184470404665,1288.41015625
"Universe B (Phase 1.5 Universe, ~496K Targets)",453405,1000,3405,3210,0.9427312775330396,0.9489230769230769,0.9370786516853933,33.887,26.0,48.10000000000002,73.0,116.03999999999996,324,0.9999252610800499,42.87628221511841,1.8351976871490479,52.44425082206726,544.9004251708081,2042.03125
Universe C (Full 10.32M Target Corpus),10320219,1000,3405,3003,0.8819383259911894,0.8953846153846153,0.8696629213483146,137.249,43.0,514.1,524.0,525.0,525,0.9999867009605126,34.858094215393066,450.84701561927795,485.7173926830292,2.218047287340723,1428.42578125
