fold_name,fold_index,start_idx,end_idx,query_count,total_true_links,captured_true_links,blocking_recall,s2_recall,s3_recall,mean_candidates,p95_candidates,p99_candidates,max_candidates,runtime_seconds
Fold_1,1,0,5000,5000,17232,16188,0.939415,0.953715,0.926071,35.95,84.0,148.0,363,8.74
Fold_2,2,5000,10000,5000,17319,16225,0.936832,0.951108,0.923557,35.73,82.0,142.0,357,9.85
Fold_3,3,10000,15000,5000,17504,16465,0.940642,0.951512,0.930387,35.45,81.0,153.0,365,10.33
Fold_4,4,15000,20000,5000,17254,16208,0.939376,0.952261,0.92733,35.56,80.0,138.0,360,9.86
Fold_5,5,20000,25000,5000,17241,16164,0.937533,0.951683,0.924336,35.84,83.0,144.0,362,9.75
