pipeline_stage,cohort_size,total_true_links,captured_links,blocking_recall,s2_recall,s3_recall,mean_candidates_per_s1,median_candidates,p95_candidates,p99_candidates,max_candidates,retrieval_failure_pct
Phase3_ArmB_Cohort_100,100,364,356,0.978021978021978,0.9830508474576272,0.9732620320855615,40.95,40.0,43.0,48.14000000000007,62,0.02197802197802201
ProductionCode_Scan200k_Cohort_100,100,364,11,0.03021978021978022,0.03389830508474576,0.026737967914438502,2.82,1.0,14.0,40.0,40,0.9697802197802198
Phase3_ArmB_Cohort_1000,1000,3405,3324,0.9762114537444934,0.9809230769230769,0.9719101123595506,41.312,40.0,45.0,57.01999999999998,106,0.023788546255506637
ProductionCode_Scan200k_Cohort_1000,1000,3405,85,0.024963289280469897,0.027692307692307693,0.02247191011235955,2.449,0.0,12.049999999999955,37.0,40,0.9750367107195301
Phase3_ArmB_Cohort_5000,5000,17232,16735,0.9711583101207056,0.9773984130800674,0.9653354274175454,41.7468,40.0,49.0,64.0,115,0.028841689879294363
ProductionCode_Scan200k_Cohort_5000,5000,17232,458,0.026578458681522747,0.028612647270978602,0.024680278214045323,2.8968,0.0,20.0,40.0,40,0.9734215413184772
