country,total_s1,empty_count,empty_pct,matched_count,matched_pct,total_links,avg_matches_per_s1,s2_links,s3_links,source_pattern_s2_only,source_pattern_s3_only,source_pattern_both
INDIA,809986,809144,0.9989604758600766,842,0.001039524139923406,923,0.0011395258683483418,434,489,869,977,210
US,663106,662485,0.9990634981435849,621,0.0009365018564151132,669,0.001008888473336088,346,323,869,977,210
FRANCE,259452,258859,0.9977144134560535,593,0.0022855865439464717,1048,0.004039282796047053,450,598,869,977,210
