k,blocking_recall,s2_recall,s3_recall,captured_true_links,total_true_links,mean_candidates,median_candidates,p90_candidates,p95_candidates,p99_candidates,max_candidates,total_candidates,reduction_ratio
25,0.88194,0.89538,0.86966,3003,3405,137.26,43.0,515.1,524.0,525.0,525,137258,0.9999867
40,0.89515,0.91262,0.87921,3048,3405,151.94,58.0,527.3,539.0,540.0,540,151935,0.9999853
50,0.90015,0.91754,0.88427,3065,3405,161.79,68.0,537.0,549.0,550.0,550,161786,0.9999843
75,0.90690,0.92492,0.89045,3088,3405,186.42,93.0,555.0,574.0,575.0,575,186424,0.9999819
100,0.91336,0.92800,0.90000,3110,3405,211.07,118.0,577.0,599.0,600.0,600,211070,0.9999795
