block_a,block_b,total_true_links,a_only_true_links,a_only_recall,b_only_true_links,b_only_recall,intersection_true_links,intersection_recall,union_true_links,union_recall,missed_by_both,total_candidates_a,total_candidates_b,total_candidates_union,candidate_overlap_percentage
BLOCK-NAME-EXACT-CLEAN,BLOCK-NAME-SORTED-TOKENS,7638365,0,0.0,381,4.987978448267397e-05,7520,0.0009845038827026465,7901,0.0010343836671853205,7630464,10609,11075,11075,95.79
BLOCK-NAME-EXACT-CLEAN,BLOCK-CHAR-BOUNDARY-4GRAM,7638365,0,0.0,1606,0.00021025441963037903,7520,0.0009845038827026465,9126,0.0011947583023330256,7629239,10609,18171,18171,58.38
BLOCK-NAME-EXACT-CLEAN,BLOCK-HYBRID-NAME-POSTAL,7638365,7166,0.0009381588860966973,284,3.7180731740365905e-05,354,4.634499660594905e-05,7804,0.0010216846144430124,7630561,10609,638,10893,3.25
BLOCK-NAME-SORTED-TOKENS,BLOCK-HYBRID-NAME-NUMERIC,7638365,2664,0.00034876573717019285,3544,0.0004639736383375238,5237,0.0006856179300151275,11445,0.0014983573055228443,7626920,11075,9525,15358,34.13
BLOCK-NAME-SORTED-TOKENS,BLOCK-CHAR-BOUNDARY-4GRAM,7638365,360,4.713050502299903e-05,1585,0.00020750514017070406,7541,0.0009872531621623213,9486,0.0012418888073560245,7628879,11075,18171,18616,57.1
BLOCK-NAME-SORTED-TOKENS,BLOCK-TFIDF-WORD-TOP25,7638365,241,3.155125475150769e-05,8550,0.001119349494296227,7660,0.0010028324124338127,16451,0.0021537331614815474,7621914,11075,125000,127430,6.78
BLOCK-HYBRID-NAME-POSTAL,BLOCK-HYBRID-NAME-NUMERIC,7638365,7,9.164264865583145e-07,8150,0.0010669822664928948,631,8.260930185975664e-05,8788,0.0011505079948392098,7629577,638,9525,9532,6.62
