cohort_size,seed,cohort_hash,total_true_links,singleton_count,one_match_count,multi_match_count,s2_link_count,s3_link_count
75,42,ccd98fd924a8f545c067a4f8396632e5b57604caf0d6b5e57b0c392024b6038e,281,2,2,71,128,153
1000,42,4e8cdef966147c1d2ead20521550c0a9f48b3a8087aeabb64b1ed0968b0215d6,3449,58,53,889,1703,1746
5000,42,5d930f2e65a5ef0b27475e46d131cf56c7e5c1784504308a3097f1e17bac7dac,17133,304,274,4422,8204,8929
25000,42,f9c87a8f9e533a4672b1be02a908e53bdd4c2f1890c4e11ea144f76e1c3f2e77,86286,1419,1376,22205,41551,44735
