cohort_size,candidate_arm,model_name,threshold,macro_f05,precision,recall,end_to_end_link_recall,predicted_link_count,singleton_false_merge_count
75,ARM_B,LightGBM_Classifier,0.2,0.8782405256905088,0.8776219336219339,0.9281693121693123,0.9288256227758007,0,0
75,ARM_B,LightGBM_Classifier,0.3,0.8976802783884231,0.9026955266955268,0.9281693121693123,0.9288256227758007,0,0
75,ARM_B,LightGBM_Classifier,0.4,0.9001785826653118,0.9071399711399711,0.923724867724868,0.9252669039145908,0,0
75,ARM_B,LightGBM_Classifier,0.5,0.902832202824639,0.9107089947089946,0.9215026455026454,0.9217081850533808,0,0
75,ARM_B,LightGBM_Classifier,0.6,0.9086543339099279,0.9180423280423279,0.9215026455026454,0.9217081850533808,0,0
75,ARM_B,LightGBM_Classifier,0.7,0.9162269670735879,0.9285502645502645,0.9121693121693123,0.9145907473309609,0,0
75,ARM_B,LightGBM_Classifier,0.8,0.911220742361481,0.9207724867724867,0.9050582010582011,0.9074733096085409,0,0
75,ARM_C,LightGBM_Classifier,0.2,0.8805311842344361,0.8765347985347985,0.9486137566137567,0.9466192170818505,0,0
75,ARM_C,LightGBM_Classifier,0.3,0.8937617986215789,0.89202886002886,0.9452804232804234,0.9430604982206405,0,0
75,ARM_C,LightGBM_Classifier,0.4,0.8985192200251456,0.902169210906053,0.9381693121693123,0.9359430604982206,0,0
75,ARM_C,LightGBM_Classifier,0.5,0.9011728401844729,0.9057382344750766,0.93594708994709,0.9323843416370107,0,0
75,ARM_C,LightGBM_Classifier,0.6,0.9114162388185524,0.9187351384998443,0.93594708994709,0.9323843416370107,0,0
75,ARM_C,LightGBM_Classifier,0.7,0.9191694474513573,0.9294074074074073,0.9266137566137568,0.9252669039145908,0,0
75,ARM_C,LightGBM_Classifier,0.8,0.9141632227392502,0.9216296296296296,0.9195026455026457,0.9181494661921709,0,0
1000,ARM_B,LightGBM_Classifier,0.2,0.900068328432014,0.9006876349495915,0.937620634920635,0.9472310814728907,0,0
1000,ARM_B,LightGBM_Classifier,0.3,0.911606582449181,0.9145798701298701,0.9381349206349207,0.9440417512322412,0,0
1000,ARM_B,LightGBM_Classifier,0.4,0.9149763788884027,0.9189107142857142,0.936568253968254,0.9423021165555233,0,0
1000,ARM_B,LightGBM_Classifier,0.5,0.9195732100885889,0.9248277777777778,0.9344753968253967,0.9396926645404465,0,0
1000,ARM_B,LightGBM_Classifier,0.6,0.9257352816920909,0.932546336996337,0.9339753968253968,0.9388228472020875,0,0
1000,ARM_B,LightGBM_Classifier,0.7,0.9295807124496681,0.9372409430438842,0.9327587301587301,0.936503334299797,0,0
1000,ARM_B,LightGBM_Classifier,0.8,0.9334140318552504,0.942700971903913,0.9289087301587301,0.9324441867207887,0,0
1000,ARM_C,LightGBM_Classifier,0.2,0.891704584213838,0.8886360130882189,0.9458944444444444,0.9565091330820528,0,0
1000,ARM_C,LightGBM_Classifier,0.3,0.9038626018140944,0.9033947168844227,0.9448015873015874,0.9527399246158307,0,0
1000,ARM_C,LightGBM_Classifier,0.4,0.9103812606584777,0.9113193013642703,0.9440349206349206,0.9507103508263265,0,0
1000,ARM_C,LightGBM_Classifier,0.5,0.9173192490816211,0.9197549240748931,0.9426920634920636,0.9478109596984633,0,0
1000,ARM_C,LightGBM_Classifier,0.6,0.9245250389791211,0.9286761671335202,0.9419420634920636,0.9466512032473181,0,0
1000,ARM_C,LightGBM_Classifier,0.7,0.9291901400078111,0.9344222922502333,0.9407253968253967,0.9443316903450275,0,0
1000,ARM_C,LightGBM_Classifier,0.8,0.9344441757273393,0.9414402576181987,0.9363420634920635,0.9396926645404465,0,0
5000,ARM_B,LightGBM_Classifier,0.2,0.9041039754373807,0.9054719747643659,0.9368598412698411,0.9518473122045176,0,0
5000,ARM_B,LightGBM_Classifier,0.3,0.9146270455329167,0.9177644058719059,0.9382007936507937,0.9499212046926983,0,0
5000,ARM_B,LightGBM_Classifier,0.4,0.919780389034638,0.9239400410700411,0.9376519841269841,0.9484620323352594,0,0
5000,ARM_B,LightGBM_Classifier,0.5,0.9251778347509536,0.9306173787323787,0.9367181746031745,0.9467110255063328,0,0
5000,ARM_B,LightGBM_Classifier,0.6,0.9302775375507918,0.9367788383838386,0.9365310317460317,0.9454853207260842,0,0
5000,ARM_B,LightGBM_Classifier,0.7,0.9343774621754798,0.9418981092436974,0.9355224603174603,0.9432673787427771,0,0
5000,ARM_B,LightGBM_Classifier,0.8,0.9383669842325384,0.9480649490705373,0.9308736507936508,0.9377225237845094,0,0
5000,ARM_C,LightGBM_Classifier,0.2,0.8966007717309199,0.8945343018400589,0.9452484126984128,0.9619447849179945,0,0
5000,ARM_C,LightGBM_Classifier,0.3,0.9089235604038417,0.9087751589586883,0.9459012698412699,0.9597268429346875,0,0
5000,ARM_C,LightGBM_Classifier,0.4,0.9156325030730122,0.9166765385448745,0.945429126984127,0.9579174692114633,0,0
5000,ARM_C,LightGBM_Classifier,0.5,0.9228032942054011,0.9254673234763173,0.9443053174603174,0.9557578941224537,0,0
5000,ARM_C,LightGBM_Classifier,0.6,0.9288875138454614,0.9327952189966896,0.9436681746031746,0.9540068872935271,0,0
5000,ARM_C,LightGBM_Classifier,0.7,0.9340158636828871,0.939099970715559,0.9428810317460317,0.9517889453102201,0,0
5000,ARM_C,LightGBM_Classifier,0.8,0.9391676114087982,0.9465272867328749,0.9381969841269842,0.9458355220918695,0,0
