cohort_size,candidate_arm,blocking_recall,mean_candidates_per_query,total_candidate_pairs,cand_pr_auc,cand_roc_auc,diagnostic_macro_f05,diagnostic_precision,diagnostic_recall,end_to_end_link_recall,best_threshold,eval_time_seconds
75,ARM_B,0.9395,44.19,3314,0.98795,0.99811,0.91623,0.92855,0.91217,0.91459,0.7,15.32
75,ARM_C,0.968,83.99,6299,0.97993,0.99763,0.91917,0.92941,0.92661,0.92527,0.7,24.51
1000,ARM_B,0.95564,43.58,43575,0.99181,0.99892,0.93341,0.9427,0.92891,0.93244,0.8,38.64
1000,ARM_C,0.969,86.7,86698,0.98904,0.99885,0.93444,0.94144,0.93634,0.93969,0.8,61.22
5000,ARM_B,0.9623,43.33,216672,0.99203,0.99896,0.93837,0.94806,0.93087,0.93772,0.8,228.61
5000,ARM_C,0.9754,88.28,441420,0.9894,0.99886,0.93917,0.94653,0.9382,0.94584,0.8,303.42
25000,ARM_B,0.9574,44.43,1110672,0.99182,0.99891,0.9329,0.9452,0.9255,0.9356,0.8,568.2
25000,ARM_C,0.9716,98.36,2459053,0.98901,0.9988,0.933,0.9418,0.9312,0.9443,0.8,1124.5
