experiment_id,feature_count,audit_cohort_size,cand_pr_auc,cand_roc_auc,diagnostic_macro_f05,optimal_threshold
G1_Name_Only,10,1000,0.5794725938743598,0.9522491423293402,0.7279918239784212,0.7
G1_G2_Name_Address,18,1000,0.9865799736646216,0.9984151840969914,0.9193823206800401,0.7
G1_G2_G3_Core_Country,21,1000,0.987753431914997,0.998621903635974,0.9186928303233053,0.7
G1_G2_G3_G5_Provenance,30,1000,0.9887014337737476,0.998681673332149,0.9248977402015771,0.7
Full_43_Feature_Set,43,1000,0.9918141532252769,0.9989215128905495,0.9295807124496681,0.7
